Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Memoria RAM XPG Spectrix D50 RGB DDR4, 3600MHz, 8GB, CL18, XMP",AX4U36008G18I-ST50,$626.00,$429.00,$99.00,3
"Kit de Teclado y Mouse Cooler Master Devastator 3 Plus, Alámbrico, USB, Negro (Español)",GB-3001-KKMF1-LS,$741.00,$487.00,$99.00,91
"Monitor AOC Essential-line 20E1H LED 19.5"", HD, Negro",20E1H,"$2,626.00","$1,489.00",$154.00,84
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$800.00,$599.00,$99.00,7
"Memoria RAM Adata U-DIMM DDR4 2666MHz, 32GB, Non-ECC, CL19",AD4U266632G19-SGN,"$2,109.00","$1,269.00",$99.00,¡1
"SSD Samsung 980 PRO NVMe, 500GB, PCI Express 4.0, M.2",MZ-V8P500B/AM,"$1,905.00","$1,189.00",$99.00,10
"SSD Adata Ultimate SU800, 1TB, SATA III, 2.5'', 7mm",ASU800SS-1TT-C,"$1,675.00","$1,169.00",$99.00,50
"SSD PNY CS900, 240GB, SATA III, 2.5'', 7mm",D7CS900-240-RB,$574.00,$406.00,$99.00,26
"SSD Adata Legend 700 NVMe, 1TB, PCI Express 3.0, M.2",ALEG-700-1TCS,$816.00,$659.00,$99.00,44
"Mouse Logitech Óptico MX Anywhere 3, Recargable, Inalámbrico, USB, 4000DPI, Negro",910-005992,"$1,483.00","$1,059.00",$99.00,18
"Mousepad Gamer Primus Arena L, 39 x 31cm, Grosor 3mm, Negro/Morado",PMP-10L,$261.00,$83.00,$99.00,13
"Memoria RAM HPE DDR4, 2933MHz, 16GB, CL21, Dual Rank x8",P00922-B21,"$20,959.00","$6,449.00",$99.00,3
"Teclado Logitech K480 Multiplataforma, Inalámbrico, Bluetooth, Negro (Español)",920-006346,$817.00,$559.00,$99.00,2
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$4,025.00","$3,009.00",$319.00,44
"Apple AirPods (2da. Generación), Inalámbrico, Bluetooth, Blanco - incluye Estuche de Carga Alámbrico",MV7N2BE/A,"$3,999.00","$3,109.00",Envío gratis,127
"SSD HP EX950, 512GB, PCI Express 3.0, M.2",5MS22AA,"$1,101.00",$639.00,$99.00,99
"Beats by Dr. Dre Audífonos Beats Solo3 Wireless, Bluetooth, Negro",MX432LL/A,"$4,499.00","$2,699.00",$99.00,60
"Logitech Webcam HD Pro Stream C922, 1920x1080 Pixeles, USB, Negro",960-001087,"$2,160.00","$1,569.00",$99.00,3
"SSD Samsung 870 EVO, 500GB, SATA III, 2.5""",MZ-77E500E,$856.00,$639.00,$99.00,31
"Memoria RAM Adata AD5U480016G-S DDR5, 4800MHz, 16GB, ECC, CL40",AD5U480016G-S,"$1,314.00",$849.00,$99.00,2
"Monitor LG 29WP500-B LCD 29"", Full HD, UltraWide, FreeSync, 75Hz, HDMI, Negro",29WP500-B,"$4,951.00","$3,979.00",$164.00,65
"Logitech Audífonos Gamer G433 7.1 para Xbox/PS4/Nintendo Switch, Alámbrico, 2 Metros, 3.5mm, Negro",981-000667,"$2,216.00","$1,619.00",$99.00,19
"Disco Duro para Videovigilancia Western Digital WD Purple Surveillance 3.5"", 3TB, SATA III, 6 Gbit/s, 5400 RPM, 64MB Caché",WD33PURZ,"$1,996.00","$1,489.00",$99.00,16
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Negro - Resistente al Agua",984-001554,"$1,864.00","$1,359.00",$99.00,63
"Tablet Ghia Vector Slim 10.1”, 16GB, Android 10 Go Edition , Negro",GTVR10SB,"$2,228.00","$1,339.00",$99.00,117
"Dell Mochila ES1520P para Laptop 15"", Negro",460-BCTJ,$581.00,$412.00,$99.00,202
"Teclado Gamer Logitech G413 LED Rojo, Teclado Mecánico, Alámbrico, Carbono (Inglés)",920-008300,"$2,024.00","$1,479.00",$99.00,2
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Plata",M-T220NZSAMXO,"$3,269.00","$2,309.00",$99.00,7
"Monitor Lenovo D19-10 61E0 LED 18.5"", HD, HDMI, Negro",61E0KAR6US,"$2,540.00","$1,909.00",$149.00,27
"Cartucho Brother LC61C Cian, 325 Páginas",LC61C,$391.00,$201.00,$99.00,11
"Logitech Kit Volante Driving Force G29, Alámbrico, USB 2.0, para PC/PlayStation 3/4",941-000111,"$5,195.00","$3,779.00",$149.00,14
"Logitech Audífonos Gamer G Pro, Alámbrico, 2 Metros, 3.5mm, Negro",981-000811,"$2,190.00","$1,699.00",$99.00,4
"Monitor Gamer LG 32MN500M-B LED 31.5"", Full HD, FreeSync, HDMI, Negro",32MN500M-B,"$5,064.00","$4,019.00",$159.00,446
"SSD Western Digital WD Green, 1TB, SATA III, 2.5"", 7mm",WDS100T3G0A,$803.00,$679.00,$99.00,7
